PlanName,fy,ActLiabilities_GASB,InvestmentReturnAssumption_GASB,InvestmentReturn_1yr
"Missouri DOT and Highway",2006,2740437.800,0.08250,0.14970
"Missouri DOT and Highway",2007,2897267.500,0.08250,0.18090
"Missouri DOT and Highway",2008,3019633.800,0.08250,-0.02410
"Missouri DOT and Highway",2009,3113393.800,0.08250,-0.24700
"Missouri DOT and Highway",2010,3258867.000,0.08250,0.12910
"Missouri DOT and Highway",2011,3297589.800,0.08250,0.21780
"Missouri DOT and Highway",2012,3306278.800,0.08250,0.02750
"Missouri DOT and Highway",2013,3583975.500,0.07750,0.13420
"Missouri DOT and Highway",2014,3650241.800,0.07750,0.17590
"Missouri DOT and Highway",2015,3715845.800,0.07750,0.06620
"Missouri DOT and Highway",2016,3761733.000,0.07750,0.01010
"Missouri DOT and Highway",2017,3802443.800,0.07750,0.11220
"Missouri DOT and Highway",2018,3981839.000,0.07000,0.09420
"Missouri DOT and Highway",2019,4037369.800,0.07000,0.06840
"Missouri DOT and Highway",2020,4092098.000,0.07000,-0.00460
"Nevada Police Officer and Firefighter",2001,3214191.000,0.08000,-0.01500
"Nevada Police Officer and Firefighter",2002,3536980.000,0.08000,-0.02700
"Nevada Police Officer and Firefighter",2003,3999381.000,0.08000,0.05000
"Nevada Police Officer and Firefighter",2004,4408373.000,0.08000,0.12100
"Nevada Police Officer and Firefighter",2005,4864574.000,0.08000,0.09300
"Nevada Police Officer and Firefighter",2006,5394511.000,0.08000,0.08800
"Nevada Police Officer and Firefighter",2007,5866605.000,0.08000,0.15000
"Nevada Police Officer and Firefighter",2008,6494850.000,0.08000,-0.03200
"Nevada Police Officer and Firefighter",2009,6987537.500,0.08000,-0.15600
"Nevada Police Officer and Firefighter",2010,7461470.000,0.08000,0.11000
"Nevada Police Officer and Firefighter",2011,7887405.000,0.08000,0.21100
"Nevada Police Officer and Firefighter",2012,8282426.500,0.08000,0.03100
"Nevada Police Officer and Firefighter",2013,8805915.000,0.08000,0.12400
"Nevada Police Officer and Firefighter",2014,9222719.000,0.08000,0.17600
"Nevada Police Officer and Firefighter",2015,9751896.000,0.08000,0.04200
"Nevada Police Officer and Firefighter",2016,10344779.000,0.08000,0.02300
"Nevada Police Officer and Firefighter",2017,11334447.000,0.07500,0.11900
"Nevada Police Officer and Firefighter",2018,12156602.000,0.07500,0.08600
"Nevada Police Officer and Firefighter",2019,12925780.000,0.07500,0.08500
"Nevada Police Officer and Firefighter",2020,13605745.000,0.07500,0.07200
"New Hampshire RS",2001,3842602.000,0.09000,-0.06700
"New Hampshire RS",2002,4196314.000,0.09000,-0.06400
"New Hampshire RS",2003,4669192.000,0.09000,0.02500
"New Hampshire RS",2004,5029877.000,0.09000,0.14900
"New Hampshire RS",2005,5991026.000,0.09000,0.10100
"New Hampshire RS",2006,6402875.000,0.08500,0.10000
"New Hampshire RS",2007,7259715.000,0.08500,0.16000
"New Hampshire RS",2008,7821316.500,0.08500,-0.04600
"New Hampshire RS",2009,8475052.000,0.08500,-0.18100
"New Hampshire RS",2010,8953932.000,0.08500,0.12900
"New Hampshire RS",2011,9998251.000,0.07750,0.23000
"New Hampshire RS",2012,10361600.000,0.07750,0.00900
"New Hampshire RS",2013,10708768.000,0.07750,0.14500
"New Hampshire RS",2014,11045174.000,0.07750,0.17600
"New Hampshire RS",2015,12303636.000,0.07750,0.03500
"New Hampshire RS",2016,12732866.000,0.07250,0.01000
"New Hampshire RS",2017,13208449.000,0.07250,0.13500
"New Hampshire RS",2018,13703149.000,0.07250,0.08900
"New Hampshire RS",2019,15014165.000,0.07250,0.06700
"New Hampshire RS",2020,15488015.000,0.07250,0.01100
"New Jersey PERS",2001,23705502.000,0.08750,-0.10400
"New Jersey PERS",2002,25689892.000,0.08750,-0.09000
"New Jersey PERS",2003,27829312.000,0.08750,0.03300
"New Jersey PERS",2004,29698318.000,0.08250,0.14100
"New Jersey PERS",2005,31774386.000,0.08250,0.08700
"New Jersey PERS",2006,35071664.000,0.08250,0.09800
"New Jersey PERS",2007,37793092.000,0.08250,0.17100
"New Jersey PERS",2008,40245888.000,0.08250,-0.02660
"New Jersey PERS",2009,44470404.000,0.08250,-0.14270
"New Jersey PERS",2010,41347836.000,0.08250,0.13360
"New Jersey PERS",2011,43328332.000,0.07950,0.18030
"New Jersey PERS",2012,45392624.000,0.07900,0.02520
"New Jersey PERS",2013,46999740.000,0.07900,0.11780
"New Jersey PERS",2014,49097768.000,0.07900,0.16870
"New Jersey PERS",2015,51067404.000,0.07900,0.04160
"New Jersey PERS",2016,53085688.000,0.07650,-0.00930
"New Jersey PERS",2017,55563276.000,0.07500,0.13070
"New Jersey PERS",2018,56849344.000,0.07500,0.09060
"New Jersey PERS",2019,61192972.000,0.07500,0.06270
"New Jersey PERS",2020,62695236.000,0.07500,0.01210
"New Jersey Police & Fire",2001,17922588.000,0.08750,-0.10400
"New Jersey Police & Fire",2002,19227962.000,0.08750,-0.09000
"New Jersey Police & Fire",2003,20752982.000,0.08750,0.03300
"New Jersey Police & Fire",2004,22278240.000,0.08250,0.14100
"New Jersey Police & Fire",2005,24204592.000,0.08250,0.08700
"New Jersey Police & Fire",2006,25989700.000,0.08250,0.09800
"New Jersey Police & Fire",2007,27988828.000,0.08250,0.17100
"New Jersey Police & Fire",2008,30620226.000,0.08250,-0.02660
"New Jersey Police & Fire",2009,32442102.000,0.08250,-0.14270
"New Jersey Police & Fire",2010,29274360.000,0.08250,0.13360
"New Jersey Police & Fire",2011,30905158.000,0.07950,0.18030
"New Jersey Police & Fire",2012,31732124.000,0.07900,0.02520
"New Jersey Police & Fire",2013,33000222.000,0.07900,0.11780
"New Jersey Police & Fire",2014,34604896.000,0.07900,0.16870
"New Jersey Police & Fire",2015,35722404.000,0.07900,0.04160
"New Jersey Police & Fire",2016,37470080.000,0.07650,-0.00930
"New Jersey Police & Fire",2017,39347208.000,0.07500,0.13070
"New Jersey Police & Fire",2018,40507112.000,0.07500,0.09060
"New Jersey Police & Fire",2019,42932820.000,0.07300,0.06270
"New Jersey Police & Fire",2020,44303184.000,0.07300,0.01210
"New Mexico PERA",2001,7883447.000,0.08000,-0.01850
"New Mexico PERA",2002,8505931.000,0.08000,-0.02070
"New Mexico PERA",2003,9215945.000,0.08000,0.03710
"New Mexico PERA",2004,9950224.000,0.08000,0.15550
"New Mexico PERA",2005,10902769.000,0.08000,0.09850
"New Mexico PERA",2006,11781722.000,0.08000,0.11740
"New Mexico PERA",2007,12962480.000,0.08000,0.18080
"New Mexico PERA",2008,13740335.000,0.08000,-0.07400
"New Mexico PERA",2009,14908279.000,0.08000,-0.24110
"New Mexico PERA",2010,15601461.000,0.08000,0.15020
"New Mexico PERA",2011,16826392.000,0.07750,0.22500
"New Mexico PERA",2012,17788044.000,0.07750,-0.00380
"New Mexico PERA",2013,17057380.000,0.07750,0.13260
"New Mexico PERA",2014,17784376.000,0.07750,0.17400
"New Mexico PERA",2015,18786486.000,0.07750,0.01840
"New Mexico PERA",2016,19474242.000,0.07750,0.00490
"New Mexico PERA",2017,20194698.000,0.07750,0.11100
"New Mexico PERA",2018,21313452.000,0.07250,0.06900
"New Mexico PERA",2019,22162998.000,0.07250,0.06380
"New Mexico PERA",2020,22388870.000,0.07250,-0.01520
"New York City ERS",2001,36654300.000,0.08000,-0.08300
"New York City ERS",2002,38905200.000,0.08000,-0.08640
"New York City ERS",2003,40423500.000,0.08000,0.03940
"New York City ERS",2004,43010220.000,0.08000,0.16300
"New York City ERS",2005,44881300.000,0.08000,0.09220
"New York City ERS",2006,46602032.000,0.08000,0.09830
"New York City ERS",2007,49253216.000,0.08000,0.18390
"New York City ERS",2008,51114400.000,0.08000,-0.04960
"New York City ERS",2009,53052656.000,0.08000,-0.18180
"New York City ERS",2010,62935268.000,0.07000,0.14090
"New York City ERS",2011,65269252.000,0.07000,0.23120
"New York City ERS",2012,67417016.000,0.07000,0.01320
"New York City ERS",2013,69115120.000,0.07000,0.12240
"New York City ERS",2014,71839048.000,0.07000,0.17040
"New York City ERS",2015,76678224.000,0.07000,0.03110
"New York City ERS",2016,79081184.000,0.07000,0.01520
"New York City ERS",2017,82462952.000,0.07000,0.12990
"New York City ERS",2018,85845128.000,0.07000,0.08560
"New York City ERS",2019,85845128.000,0.07000,0.07130
"New York City ERS",2020,85845128.000,0.07000,0.03580
"New York City Teachers",2001,36140100.000,0.08000,-0.08200
"New York City Teachers",2002,36531200.000,0.08000,-0.08100
"New York City Teachers",2003,37622900.000,0.08000,0.04000
"New York City Teachers",2004,40871984.000,0.08000,0.15900
"New York City Teachers",2005,42644416.000,0.08000,0.10600
"New York City Teachers",2006,45138924.000,0.08000,0.09950
"New York City Teachers",2007,48625200.000,0.08000,0.17460
"New York City Teachers",2008,49400760.000,0.08000,-0.06210
"New York City Teachers",2009,47988460.000,0.08000,-0.18120
"New York City Teachers",2010,55138368.000,0.07000,0.14380
"New York City Teachers",2011,57702732.000,0.07000,0.23280
"New York City Teachers",2012,58783400.000,0.07000,0.01850
"New York City Teachers",2013,60956920.000,0.07000,0.11900
"New York City Teachers",2014,64986436.000,0.07000,0.17620
"New York City Teachers",2015,69625608.000,0.07000,0.02990
"New York City Teachers",2016,69964416.000,0.07000,0.01860
"New York City Teachers",2017,69552384.000,0.07000,0.12890
"New York City Teachers",2018,72205320.000,0.07000,0.08330
"New York City Teachers",2019,72205320.000,0.07000,0.07760
"New York City Teachers",2020,72205320.000,0.07000,0.05100
"North Carolina Local Government",2001,,,-0.02040
"North Carolina Local Government",2002,10836460.000,0.07250,-0.04040
"North Carolina Local Government",2003,11462706.000,0.07250,0.07560
"North Carolina Local Government",2004,12455503.000,0.07250,0.12100
"North Carolina Local Government",2005,13466189.000,0.07250,0.09850
"North Carolina Local Government",2006,14480208.000,0.07250,0.07230
"North Carolina Local Government",2007,15643377.000,0.07250,0.14800
"North Carolina Local Government",2008,16868148.000,0.07250,-0.02100
"North Carolina Local Government",2009,17173974.000,0.07250,-0.14200
"North Carolina Local Government",2010,17804792.000,0.07250,0.12000
"North Carolina Local Government",2011,18646430.000,0.07250,0.18480
"North Carolina Local Government",2012,19373800.000,0.07250,0.02210
"North Carolina Local Government",2013,20338784.000,0.07250,0.09500
"North Carolina Local Government",2014,21537814.000,0.07250,0.15900
"North Carolina Local Government",2015,22718130.000,0.07250,0.02300
"North Carolina Local Government",2016,24360120.000,0.07250,0.00800
"North Carolina Local Government",2017,25653606.000,0.07200,0.10770
"North Carolina Local Government",2018,27745868.000,0.07000,0.07590
"North Carolina Local Government",2019,29223126.000,0.07000,0.06580
"North Carolina Local Government",2020,30700922.000,0.07000,0.04340
"North Carolina Teachers and State Employees",2001,,,-0.02040
"North Carolina Teachers and State Employees",2002,37713664.000,0.07250,-0.04040
"North Carolina Teachers and State Employees",2003,39863984.000,0.07250,0.07560
"North Carolina Teachers and State Employees",2004,41733700.000,0.07250,0.12100
"North Carolina Teachers and State Employees",2005,43827856.000,0.07250,0.09850
"North Carolina Teachers and State Employees",2006,46624668.000,0.07250,0.07230
"North Carolina Teachers and State Employees",2007,49391908.000,0.07250,0.14800
"North Carolina Teachers and State Employees",2008,52815088.000,0.07250,-0.02100
"North Carolina Teachers and State Employees",2009,55518744.000,0.07250,-0.14200
"North Carolina Teachers and State Employees",2010,58178272.000,0.07250,0.12000
"North Carolina Teachers and State Employees",2011,59876064.000,0.07250,0.18480
"North Carolina Teachers and State Employees",2012,61846696.000,0.07250,0.02210
"North Carolina Teachers and State Employees",2013,63630280.000,0.07250,0.09500
"North Carolina Teachers and State Employees",2014,65805556.000,0.07250,0.15900
"North Carolina Teachers and State Employees",2015,67715064.000,0.07250,0.02300
"North Carolina Teachers and State Employees",2016,71521912.000,0.07250,0.00800
"North Carolina Teachers and State Employees",2017,74547856.000,0.07200,0.10770
"North Carolina Teachers and State Employees",2018,79209344.000,0.07000,0.07333
"North Carolina Teachers and State Employees",2019,82105944.000,0.07000,0.06502
"North Carolina Teachers and State Employees",2020,84873312.000,0.07000,0.04238
"North Dakota PERS",2001,1008700.000,0.08000,-0.04120
"North Dakota PERS",2002,1103500.000,0.08000,-0.06830
"North Dakota PERS",2003,1188800.000,0.08000,0.05460
"North Dakota PERS",2004,1272900.000,0.08000,0.16660
"North Dakota PERS",2005,1361200.000,0.08000,0.14070
"North Dakota PERS",2006,1480500.000,0.08000,0.12000
"North Dakota PERS",2007,1610200.000,0.08000,0.18960
"North Dakota PERS",2008,1737600.000,0.08000,-0.05600
"North Dakota PERS",2009,1901200.000,0.08000,-0.24420
"North Dakota PERS",2010,2208400.000,0.08000,0.13670
"North Dakota PERS",2011,2339800.000,0.08000,0.21430
"North Dakota PERS",2012,2501300.000,0.08000,0.00060
"North Dakota PERS",2013,2716500.000,0.08000,0.13500
"North Dakota PERS",2014,2938752.300,0.08000,0.16380
"North Dakota PERS",2015,3052446.500,0.08000,0.03530
"North Dakota PERS",2016,3396565.500,0.08000,0.00280
"North Dakota PERS",2017,3726815.000,0.07750,0.13050
"North Dakota PERS",2018,3959095.000,0.07750,0.09190
"North Dakota PERS",2019,4269340.000,0.07750,0.05600
"North Dakota PERS",2020,4717407.500,0.07000,0.03410
"Ohio PERS",2001,47492000.000,0.08000,-0.04600
"Ohio PERS",2002,50872000.000,0.08000,-0.10740
"Ohio PERS",2003,54774000.000,0.08000,0.25330
"Ohio PERS",2004,57604000.000,0.08000,0.12500
"Ohio PERS",2005,61146000.000,0.08000,0.09300
"Ohio PERS",2006,66161000.000,0.08000,0.15100
"Ohio PERS",2007,69734000.000,0.08000,0.08890
"Ohio PERS",2008,73466000.000,0.08000,-0.27150
"Ohio PERS",2009,76555000.000,0.08000,0.19090
"Ohio PERS",2010,80485000.000,0.08000,0.13980
"Ohio PERS",2011,84530000.000,0.08000,0.00360
"Ohio PERS",2012,83878000.000,0.08000,0.14540
"Ohio PERS",2013,86637000.000,0.08000,0.14380
"Ohio PERS",2014,89277000.000,0.08000,0.06960
"Ohio PERS",2015,91823000.000,0.08000,0.00330
"Ohio PERS",2016,100154000.000,0.07500,0.08310
"Ohio PERS",2017,102639000.000,0.07500,0.16820
"Ohio PERS",2018,108685000.000,0.07200,-0.02990
"Ohio PERS",2019,111348000.000,0.07200,0.17590
"Ohio PERS",2020,111348000.000,0.07200,0.11950
"Ohio Police & Fire",2001,9786000.000,0.08250,-0.03880
"Ohio Police & Fire",2002,10508000.000,0.08250,-0.09900
"Ohio Police & Fire",2003,10798000.000,0.08250,0.24960
"Ohio Police & Fire",2004,11545000.000,0.08250,0.13290
"Ohio Police & Fire",2005,12190000.000,0.08250,0.08820
"Ohio Police & Fire",2006,12988000.000,0.08250,0.16150
"Ohio Police & Fire",2007,13728000.000,0.08250,0.10470
"Ohio Police & Fire",2008,14307000.000,0.08250,-0.28060
"Ohio Police & Fire",2009,14830742.000,0.08250,0.20730
"Ohio Police & Fire",2010,15384437.000,0.08250,0.15830
"Ohio Police & Fire",2011,16346699.000,0.08250,0.02560
"Ohio Police & Fire",2012,16007888.000,0.08250,0.14890
"Ohio Police & Fire",2013,16577755.000,0.08250,0.16940
"Ohio Police & Fire",2014,18395600.000,0.08250,0.06790
"Ohio Police & Fire",2015,19135900.000,0.08250,0.00650
"Ohio Police & Fire",2016,20290394.000,0.08000,0.11510
"Ohio Police & Fire",2017,20887228.000,0.08000,0.14300
"Ohio Police & Fire",2018,21264708.000,0.08000,-0.01780
"Ohio Police & Fire",2019,22044284.000,0.08000,0.17890
"Ohio Police & Fire",2020,22044284.000,0.08000,0.09210
"Ohio Teachers",2001,59425300.000,0.07750,-0.02430
"Ohio Teachers",2002,63215644.000,0.07750,-0.08130
"Ohio Teachers",2003,65936356.000,0.08000,0.02320
"Maine Local",2001,1427090.600,0.08000,-0.07800
"Maine Local",2002,1377660.000,0.08000,-0.07500
"Maine Local",2003,1462727.100,0.08000,0.05300
"Maine Local",2004,1582991.800,0.08000,0.16600
"Maine Local",2005,1641145.000,0.08000,0.11800
"Maine Local",2006,1759054.000,0.07750,0.07500
"Maine Local",2007,1879692.000,0.07750,0.16200
"Maine Local",2008,1953628.000,0.07750,-0.03100
"Maine Local",2009,2032738.000,0.07750,-0.18800
"Maine Local",2010,2122833.000,0.07750,0.11100
"Maine Local",2011,2267541.000,0.07250,0.22400
"Maine Local",2012,2405709.000,0.07250,0.00600
"Maine Local",2013,2504403.000,0.07250,0.11100
"Maine Local",2014,2649404.500,0.07250,0.16700
"Maine Local",2015,2720936.000,0.07250,0.02000
"Maine Local",2016,2889740.800,0.06875,0.00600
"Maine Local",2017,3016660.800,0.06875,0.12500
"Maine Local",2018,3089857.300,0.06750,0.10300
"Maine Local",2019,3258819.500,0.06875,0.07300
"Maine Local",2020,3409741.300,0.06750,0.01800
"Maryland PERS",2001,10789907.000,0.08000,-0.09400
"Maryland PERS",2002,11385749.000,0.08000,-0.07600
"Maryland PERS",2003,12083197.000,0.08000,0.03200
"Maryland PERS",2004,12621578.000,0.07750,0.16200
"Maryland PERS",2005,13671756.000,0.07750,0.09500
"Maryland PERS",2006,15291091.000,0.07750,0.10400
"Maryland PERS",2007,16385823.000,0.07750,0.17600
"Maryland PERS",2008,17609768.000,0.07750,-0.05400
"Maryland PERS",2009,18517486.000,0.07750,-0.20000
"Maryland PERS",2010,19009788.000,0.07750,0.14030
"Maryland PERS",2011,19722264.000,0.07750,0.20000
"Maryland PERS",2012,20283028.000,0.07750,0.00360
"Maryland PERS",2013,21046732.000,0.07700,0.10570
"Maryland PERS",2014,22059764.000,0.07650,0.14370
"Maryland PERS",2015,23402850.000,0.07550,0.02700
"Maryland PERS",2016,23817252.000,0.07550,0.01200
"Maryland PERS",2017,24579830.000,0.07500,0.10000
"Maryland PERS",2018,25462496.000,0.07450,0.08060
"Maryland PERS",2019,26641368.000,0.07400,0.06460
"Maryland PERS",2020,27323460.000,0.07400,0.03570
"Massachusetts Teachers",2001,18170000.000,0.08250,-0.06600
"Massachusetts Teachers",2002,20619960.000,0.08250,-0.06490
"Massachusetts Teachers",2003,22891722.000,0.08250,0.04020
"Massachusetts Teachers",2004,24519060.000,0.08250,0.19430
"Massachusetts Teachers",2005,26166676.000,0.08250,0.13390
"Massachusetts Teachers",2006,27787716.000,0.08250,0.15490
"Massachusetts Teachers",2007,29320714.000,0.08250,0.19950
"Massachusetts Teachers",2008,30955504.000,0.08250,-0.01820
"Massachusetts Teachers",2009,32543782.000,0.08250,-0.23910
"Massachusetts Teachers",2010,33738968.000,0.08250,0.12860
"Massachusetts Teachers",2011,34890992.000,0.08250,0.22360
"Massachusetts Teachers",2012,36483028.000,0.08250,-0.00080
"Massachusetts Teachers",2013,39135216.000,0.08000,0.12730
"Massachusetts Teachers",2014,40741696.000,0.08000,0.17600
"Massachusetts Teachers",2015,44115768.000,0.07750,0.03870
"Massachusetts Teachers",2016,46562808.000,0.07500,0.02300
"Massachusetts Teachers",2017,49193504.000,0.07500,0.13240
"Massachusetts Teachers",2018,51653284.000,0.07350,0.10000
"Massachusetts Teachers",2019,53864140.000,0.07250,0.06130
"Massachusetts Teachers",2020,,0.07250,0.02380
"Missouri Local",2001,2302816.800,0.07500,-0.04200
"Missouri Local",2002,2613087.800,0.07500,-0.04800
"Missouri Local",2003,2700198.500,0.07500,0.01800
"Missouri Local",2004,2929171.800,0.07500,0.16400
"Missouri Local",2005,3139260.300,0.07500,0.12400
"Missouri Local",2006,3383153.000,0.07500,0.09200
"Missouri Local",2007,3700813.800,0.07500,0.18000
"Missouri Local",2008,4058829.000,0.07500,-0.02300
"Missouri Local",2009,4161775.300,0.07500,-0.18400
"Missouri Local",2010,4432332.000,0.07500,0.16200
"Missouri Local",2011,4837423.500,0.07250,0.23200
"Missouri Local",2012,5120274.000,0.07250,0.03600
"Missouri Local",2013,5423684.000,0.07250,0.14540
"Missouri Local",2014,5873911.000,0.07250,0.19040
"Missouri Local",2015,6324109.000,0.07250,0.02160
"Missouri Local",2016,6671352.500,0.07250,-0.00190
"Missouri Local",2017,7135950.500,0.07250,0.12040
"Missouri Local",2018,7631702.500,0.07250,0.13700
"Missouri Local",2019,8113100.500,0.07250,0.07120
"Missouri Local",2020,8630842.000,0.07250,0.01630
"Missouri PEERS",2001,1636076.000,0.08000,-0.01700
"Missouri PEERS",2002,1855982.000,0.08000,-0.02800
"Missouri PEERS",2003,2049716.000,0.08000,0.04700
"Missouri PEERS",2004,2221210.000,0.08000,0.12100
"Missouri PEERS",2005,2414494.000,0.08000,0.09300
"Missouri PEERS",2006,2756833.000,0.08000,0.09800
"Missouri PEERS",2007,2982813.000,0.08000,0.16600
"Missouri PEERS",2008,3278602.000,0.08000,-0.04600
"Missouri PEERS",2009,3458044.000,0.08000,-0.18900
"Missouri PEERS",2010,3658713.000,0.08000,0.12700
"Missouri PEERS",2011,3549348.000,0.08000,0.21400
"Missouri PEERS",2012,3746347.000,0.08000,0.01600
"Missouri PEERS",2013,3967619.000,0.08000,0.12300
"Missouri PEERS",2014,4211489.000,0.08000,0.16900
"Missouri PEERS",2015,4512317.000,0.08000,0.04500
"Missouri PEERS",2016,4809666.000,0.07750,0.01800
"Missouri PEERS",2017,5209369.000,0.07600,0.12500
"Missouri PEERS",2018,5542478.000,0.07500,0.08900
"Missouri PEERS",2019,5809485.000,0.07500,0.07000
"Missouri PEERS",2020,6089401.000,0.07500,0.03900
"Missouri State Employees",2001,6065166.500,0.08500,-0.02200
"Missouri State Employees",2002,6294272.500,0.08500,-0.06200
"Missouri State Employees",2003,6662291.500,0.08500,0.07000
"Missouri State Employees",2004,7230011.000,0.08500,0.17100
"Missouri State Employees",2005,7578028.000,0.08500,0.12600
"Missouri State Employees",2006,8013205.500,0.08500,0.11500
"Missouri State Employees",2007,8500429.000,0.08500,0.18700
"Missouri State Employees",2008,9128347.000,0.08500,0.01600
"Missouri State Employees",2009,9494807.000,0.08500,-0.19100
"Missouri State Employees",2010,9853155.000,0.08500,0.14300
"Missouri State Employees",2011,10123544.000,0.08500,0.21000
"Missouri State Employees",2012,10793652.000,0.08000,0.02200
"Missouri State Employees",2013,11134637.000,0.08000,0.10400
"Missouri State Employees",2014,11494572.000,0.08000,0.19200
"Missouri State Employees",2015,11727618.000,0.08000,-0.02600
"Missouri State Employees",2016,12751163.000,0.07650,0.00300
"Missouri State Employees",2017,13152274.000,0.07500,0.03500
"Missouri State Employees",2018,13612764.000,0.07250,0.07400
"Missouri State Employees",2019,13957626.000,0.07100,0.04300
"Missouri State Employees",2020,14258409.000,0.06950,0.05200
"Missouri Teachers",2001,21282204.000,0.08000,-0.01900
"Missouri Teachers",2002,23333936.000,0.08000,-0.02800
"Missouri Teachers",2003,24719450.000,0.08000,0.04800
"Missouri Teachers",2004,26225260.000,0.08000,0.12400
"Missouri Teachers",2005,27881512.000,0.08000,0.09200
"Missouri Teachers",2006,30037130.000,0.08000,0.09800
"Missouri Teachers",2007,32396724.000,0.08000,0.16570
"Missouri Teachers",2008,34490452.000,0.08000,-0.04600
"Missouri Teachers",2009,36060120.000,0.08000,-0.19300
"Missouri Teachers",2010,37233600.000,0.08000,0.13000
"Missouri Teachers",2011,34383432.000,0.08000,0.21800
"Missouri Teachers",2012,35588032.000,0.08000,0.01900
"Missouri Teachers",2013,36758164.000,0.08000,0.12600
"Missouri Teachers",2014,38483184.000,0.08000,0.16900
"Missouri Teachers",2015,40610540.000,0.08000,0.04500
"Missouri Teachers",2016,41744620.000,0.07750,0.01800
"Missouri Teachers",2017,44501772.000,0.07600,0.12500
"Missouri Teachers",2018,46702000.000,0.07500,0.08900
"Missouri Teachers",2019,47973828.000,0.07500,0.07000
"Missouri Teachers",2020,49641020.000,0.06950,0.03900
"Montana PERS",2001,,0.08000,-0.05040
"Montana PERS",2002,3077764.000,0.08000,-0.07230
"Montana PERS",2003,3295924.500,0.08000,0.06610
"Montana PERS",2004,3514085.000,0.08000,0.13430
"Montana PERS",2005,3719998.000,0.08000,0.08130
"Montana PERS",2006,3919313.000,0.08000,0.09070
"Montana PERS",2007,4201251.000,0.08000,0.17960
"Montana PERS",2008,4504743.000,0.08000,-0.04860
"Montana PERS",2009,4792819.000,0.08000,-0.20690
"Montana PERS",2010,5241819.000,0.07750,0.12870
"Montana PERS",2011,5410144.000,0.07750,0.21790
"Montana PERS",2012,5661281.000,0.07750,0.02410
"Montana PERS",2013,5160951.000,0.07750,0.13040
"Montana PERS",2014,6177505.000,0.07750,0.17160
"Montana PERS",2015,6470303.000,0.07750,0.04580
"Montana PERS",2016,6787923.000,0.07750,0.02070
"Montana PERS",2017,7578385.000,0.07650,0.11940
"Montana PERS",2018,7730084.000,0.07650,0.08850
"Montana PERS",2019,7957038.000,0.07650,0.05710
"Montana PERS",2020,8234003.000,0.07650,0.02720
"Montana Teachers",2001,,0.08000,-0.05050
"Montana Teachers",2002,2980100.000,0.08000,-0.07200
"Montana Teachers",2003,3169650.000,0.08000,0.06460
"Montana Teachers",2004,3359200.000,0.07750,0.13510
"Montana Teachers",2005,3527000.000,0.07750,0.08190
"Montana Teachers",2006,3733600.000,0.07750,0.09050
"Montana Teachers",2007,3928500.000,0.07750,0.17940
"Montana Teachers",2008,4110800.000,0.07750,-0.04890
"Montana Teachers",2009,4331000.000,0.07750,-0.20670
"Montana Teachers",2010,4518168.000,0.07750,0.12840
"Montana Teachers",2011,4658600.000,0.07750,0.21830
"Montana Teachers",2012,4814726.000,0.07750,0.02420
"Montana Teachers",2013,4592658.000,0.07750,0.13060
"Montana Teachers",2014,5191069.000,0.07750,0.17170
"Montana Teachers",2015,5351392.000,0.07750,0.04600
"Montana Teachers",2016,5483674.000,0.07750,0.02080
"Montana Teachers",2017,5636842.000,0.07750,0.11920
"Montana Teachers",2018,6004434.000,0.07500,0.08820
"Montana Teachers",2019,6148556.000,0.07500,0.05690
"Montana Teachers",2020,6310005.000,0.07500,0.02730
"Nebraska Schools",2001,1704201.500,0.08000,-0.04229
"Nebraska Schools",2002,5055868.000,0.08000,-0.04200
"Nebraska Schools",2003,5464573.000,0.08000,-0.08800
"Nebraska Schools",2004,5868267.000,0.08000,0.23600
"Nebraska Schools",2005,6234658.000,0.08000,0.11400
"Nebraska Schools",2006,6584275.500,0.08000,0.07000
"Nebraska Schools",2007,7070308.500,0.08000,0.15200
"Nebraska Schools",2008,7654536.500,0.08000,0.07800
"Nebraska Schools",2009,8092339.500,0.08000,-0.27800
"Nebraska Schools",2010,8542119.000,0.08000,0.22100
"Nebraska Schools",2011,9039745.000,0.08000,0.13400
"Nebraska Schools",2012,9609157.000,0.08000,0.00000
"Nebraska Schools",2013,9984899.000,0.08000,0.12900
"Nebraska Schools",2014,10426113.000,0.08000,0.18300
"Nebraska Schools",2015,10778304.000,0.08000,0.06900
"Nebraska Schools",2016,11207298.000,0.08000,0.01100
"Nebraska Schools",2017,12466140.000,0.07500,0.08600
"Nebraska Schools",2018,13001288.000,0.07500,0.16600
"Nebraska Schools",2019,13435710.000,0.07500,-0.04200
"Nebraska Schools",2020,13849194.000,0.07500,0.12700
"Nevada Regular Employees",2001,13449985.000,0.08000,-0.01500
"Nevada Regular Employees",2002,14722878.000,0.08000,-0.02700
"Nevada Regular Employees",2003,15541298.000,0.08000,0.05000
"Nevada Regular Employees",2004,16977008.000,0.08000,0.12100
"Nevada Regular Employees",2005,18744126.000,0.08000,0.09300
"Nevada Regular Employees",2006,20344634.000,0.08000,0.08800
"Nevada Regular Employees",2007,21804988.000,0.08000,0.15000
"Nevada Regular Employees",2008,24001040.000,0.08000,-0.03200
"Nevada Regular Employees",2009,26087620.000,0.08000,-0.15600
"Nevada Regular Employees",2010,27616270.000,0.08000,0.11000
"Nevada Regular Employees",2011,28988788.000,0.08000,0.21100
"Nevada Regular Employees",2012,30322446.000,0.08000,0.03100
